ActualName,DestinationLookUp
Ex-Service Men Colony,Ex-Service Men Colony
Eye Care Opticals ,Eye Care Opticals 
Fakeertakiya,Fakeertakiya
Fifth Town Police Station ,Fifth Town Police Station 
Fishing Harbour,Fishing Harbour
Four Road Junction  ,Four Road Junction  
Fourth Town Police Station,Fourth Town Police Station
Gajuwaka Bus Depot,Gajuwaka Bus Depot
Gali bheemavaram,Gali bheemavaram
Gandhinagaram ,Gandhinagaram 
Gandigundam,Gandigundam
Gandipalem,Gandipalem
Gangadevipate ,Gangadevipate 
Gangavaram Colony,Gangavaram
Gangavaram Junction,Gangavaram
Garava Jaggayyapalem,Garava Jaggayyapalem
Gas Company (Anakapalle Rd),Gas Company (Anakapalle Rd)
Gas Company (Gas Authority of India),Gas Company (Gas Authority of India)
Gavara Anakapalle ,Gavara Anakapalle 
Geddapeta Junction,Geddapeta Junction
Ghat Road (Madugula),Ghat Road (Madugula)
Gidijala,Gidijala
Gidijala Center,Gidijala
Giribabu Bypureddy ,Giribabu Bypureddy 
Gitam,Gitam
Gitam University (Entrance),Gitam
Gnanapuram,Gnanapuram
Gnanapuram (near Waltair Railway Station),Gnanapuram
Gokivada,Gokivada
Gokivada Junction Bus Station,Gokivada
Golden Layout (Saripalli),Golden Layout (Saripalli)
Gollalapalem Bus Station,Gollalapalem Bus Station
Gollapalem,Gollapalem
Gopalapatnam ,Gopalapatnam 
Gorlevanipalem,Gorlevanipalem
Gotivada,Gotivada
Govada,Govada
Governer Bungalow,Governer Bungalow
Govindapalem,Govindapalem
Gowri Nagar Junction,Gowri Nagar Junction
Gowripatham ,Gowripatham 
Green City,Green City
Green Park,Green Park
Gudilova,Gudilova
Gudilova Hostel,Gudilova
Gullepalle,Gullepalle
Gullepalle Junction,Gullepalle
Guntaseema Bus Station,Guntaseema Bus Station
Gurudwara,Gurudwara
GVMC ,GVMC 
Hanumanthawaka,Hanumanthawaka
Hanumanthawaka (Near Market Yard),Hanumanthawaka
Haripalem,Haripalem
HB Colony Last ,HB Colony Last 
HCC Company,HCC Company
Housing Board (PM Palem),Housing Board (PM Palem)
INS Circars,INS Circars
INS Kalinga ,INS Kalinga 
INS Satavahana,INS Satavahana
Iruvada,Iruvada
Islampeta,Islampeta
Isukathota,Isukathota
IT Park,IT Park
ITI Junction,ITI Junction
J K Layout,J K Layout
Jagadamba ,Jagadamba 
Chandana Bros ,Jagadamba 
Lepakshi,Jagadamba 
Jail Road ,Jail Road 
Jail Road Junction,Jail Road 
Jajulavanipalem,Jajulavanipalem
Jammi Devara Peta,Jammi Devara Peta
Janatha Colony,Janatha Colony
Jangala Palem ,Jangala Palem 
Jangalapalem near Gotivada,Jangalapalem near Gotivada
Jangalapalli,Jangalapalli
Jeerupeta Rayapalem Post,Jeerupeta Rayapalem Post
Jerripothulapalem,Jerripothulapalem
Jodugulla Palem,Jodugulla Palem
Jonnada,Jonnada
Judge Court ,Judge Court 
K Chandrayyapeta,K Chandrayyapeta
K Kotapadu,K Kotapadu
K Santapalem ,K Santapalem 
Kailasagiri,Kailasagiri
Kailasagiri Rope Way,Kailasagiri
Kailaspuram,Kailaspuram
Kakani Nagar,Kakani Nagar
Kakani Nagar ,Kakani Nagar 
Kakarlova,Kakarlova
Kakatiya ITI Junction,Kakatiya ITI Junction
Kalapaka,Kalapaka
Kalapaka Junction,Kalapaka Junction
Kalinganagar ,Kalinganagar 
Kancharapalem ,Kancharapalem 
Kancharapalem (Muthyamamba Temple),Kancharapalem 
Kantakapalli,Kantakapalli
Kantakapalli Railway Station Road,Kantakapalli
Karasa ,Karasa 
Karnavani Palem Bustop 1,Karnavani palem
Karnavani Palem Bustop 2,Karnavani palem
Kasimkota ,Kasimkota 
Kasipuram,Kasipuram
Kata ,Kata 
KG Penta1,KG Penta
KG Penta2,KG Penta
KGH ,KGH 
KGH Out-Patient GATE,KGH Out-Patient GATE
Khandivaram Village,Khandivaram Village
Kokkira palli,Kokkira palli
Kollivanipalem,Kollivanipalem
Kommadi Junction,Kommadi Junction
Kommadi Village,Kommadi Village
Kondakarla Junction,Kondakarla Junction
Konnuru,Konnuru
Koppaka ,Koppaka 
Korada ,Korada 
Koruvada,Koruvada
Kotavuratla ,Kotavuratla 
Kotha Kovvada Road,Kotha Kovvada Road
KothaKota,KothaKota
Kothapatnam,Kothapatnam
Kothavalasa,Kothavalasa
Kothavalasa Junction,Kothavalasa Junction
Kothavalasa Railway Station,Kothavalasa Railway Station
Kothuru Anakapalle,Kothuru Anakapalle
Kothuru Junction,Kothuru Junction
Kotta nagavaram,Kotta nagavaram
Kottha Yellavaram ,Kottha Yellavaram 
Kotturu,Kotturu
Kovvada,Kovvada
Koyyalapadu Junction,Koyyalapadu Junction
Kranthi Nagar,Kranthi Nagar
Krishna College Road,Krishna College Road
Krishna Nagar Bhimili,Krishna Nagar Bhimili
Krishna Puram,Krishna Puram
Krishnampuram,Krishnampuram
Krishnaraya puram,Krishnaraya puram
Kummapalle,Kummapalle
Kurmannapalem - RTC Complex,Kurmannapalem
Kurmannapalem Bus Station,Kurmannapalem
Kurpam Market,Kurpam Market
Kurupam Circle,Kurupam Circle
Kuruvada,Kuruvada
Lagisettipalem,Lagisettipalem
Lakshmi Talkies,Lakshmi Talkies
Lakshmipuram Village,Lakshmipuram Village
Lankavani palem,Lankavani palem
Lankelapalem (North Towards Kannuru),Lankelapalem
Lankelapalem (South Towards Parawada),Lankelapalem
Law College,Law College
Lawsons Bay,Lawsons Bay
Lawsons Bay (Towards Vuda Park),Lawsons Bay
Leela Krishna Toyota,Leela Krishna Toyota
Lemarthi,Lemarthi
Lendi College,Lendi College
Lepakshi,Lepakshi
lingala tirugudu ,lingala tirugudu 
Lions Club,Lions Club
Lopudi,Lopudi
Maddi,Maddi
Maddi Road ,Maddi Road 
Maddilapalem (Sai Ram Hotel),Maddilapalem
Maddilapalem Depot,Maddilapalem
Madhavadhara ,Madhavadhara 
Madhavadhara (Near Sree Kanaka Durga Function Hall),Madhavadhara 
Madhurawada Depot,Madhurwada
Madhurwada,Madhurwada
Madhurwada Junction,Madhurwada
Madhusudana Nagar,Madhusudana Nagar
Madugula,Madugula
Maharajupeta Junction,Maharajupeta Junction
Maharani peta,Maharani peta
Mahati English Medium School Bus Stop,Mahati English Medium School Bus Stop
Mahati English Medium School Bus Stop,Pavani Medicals
Majjivalasa,Majjivalasa
Malapalli Junction ,Malapalli Junction 
Malkapuram,Malkapuram
Mallinaidu palem,Mallinaidu palem
Mamidilova,Mamidilova
Manchala Village ,Manchala Village 
Mangalapalem,Mangalapalem
Mangalapalem Highway,Mangalapalem
Mangamari peta,Mangamari peta
Marikavalasa,Marikavalasa
Marikavalasa Highway,Marikavalasa
Marripalem ,Marripalem 
Marripalem ,Marripalem 
Marripalem (104 Area),Marripalem (104 Area)
Marripalem (Gali Bheemavaram),Marripalem (Gali Bheemavaram)
Masjid ,Masjid 
Medivada Village ,Medivada Village 
Mental Hospital,Mental Hospital
Mettapalem,Mettapalem
Mindi,Mindi
Mindivani palem,Mindivani palem
Missionary School (Kommadi),Missionary School (Kommadi)
Mithilapuri Vuda Colony,Mithilapuri Vuda Colony
MMTC,MMTC
MMTC,HB Colony Post Office
Modhavalasa,Modhavalasa
Mogalipuram,Mogalipuram
Moolapeta ,Moolapeta 
Mopada,Mopada
Mudasarlova,Mudasarlova
Mulagapudi ,Mulagapudi 
Munagapaaka,Munagapaaka
Municipal Stadium (Pata Bus Stand),Municipal Stadium (Pata Bus Stand)
Muralinagar (Burma Colony),Muralinagar (Burma Colony)
Muralinagar (Nehru Nagar),Muralinagar (Nehru Nagar)
Musiram,Musiram
Mutcherla,Mutcherla
MVP Bus Depot (Rythu Bazaar),MVP Bus Depot
MVP Circle,MVP Circle
MVP Colony (Vijaya Hospitals),MVP Colony (Vijaya Hospitals)
MVP Colony Bus Depot (Muvvalavanipalem (Depot)),MVP Bus Depot
MVP Gothisons,MVP Gothisons
Naamavaram ,Naamavaram 
NAD ,NAD 
Nadupuru,Nadupuru
Nadupuru Dairy colony,Nadupuru
Nagarapalem,Nagarapalem
Naidu Thota,Naidu Thota
Naidu Thota Junction ,Naidu Thota Junction 
