ACTUALNAME,DESTINATIONLOOKUP
PYDAH COLLEGE,PYDAH COLLEGE
PYDAH COLLEGE,BOYAPALEM
PYDIWADA,PYDIWADA
PYDIWADA AGRAHARAM,PYDIWADA AGRAHARAM
R & B,R & B
R K BEACH,R K BEACH
R K BEACH - SUBMARINE,R K BEACH - SUBMARINE
R K BEACH (KALI TEMPLE),R K BEACH (KALI TEMPLE)
R K BEACH (KALI TEMPLE),R K BEACH 
RAAVIKAMATHAM,RAAVIKAMATHAM
RAGHU ENGINEERING COLLEGE,RAGHU ENGINEERING COLLEGE
RAILWAY NEW COLONY,RAILWAY NEW COLONY
RAIWADA,RAIWADA
RAJANNAPALEM,RAJANNAPALEM
RAJIV NAGAR,RAJIV NAGAR
RAJIV NAGAR CENTRE,RAJIV NAGAR
RAJULA TALLAVALASA,RAJULA TALLAVALASA
RAJUPETA,RAJUPETA
RAMA TALKIES,RAMA TALKIES
RAMAKRISHNA PURAM (R K PURAM),RAMAKRISHNA PURAM (R K PURAM)
RAMALAYAM (P M PALEM),RAMALAYAM (P M PALEM)
RAMANARAYANAM,RAMANARAYANAM
RAMAPADU,RAMAPADU
RAMAPURAM,RAMAPURAM
RAMAPURAM ROAD,RAMPURAM
RAMAVARAM,RAMAVARAM
RAMAYOGI AGRAHARAM,RAMAYOGI AGRAHARAM
RAMBILLI,RAMBILLI
RAVINDRA NAGAR,RAVINDRA NAGAR
RAVULAMMAPALEM,RAVULAMMAPALEM
READING ROOM JUNCTION,READING ROOM JUNCTION
REBBAKA,REBBAKA
RELL VEEDI,RELL VEEDI
RMHP,RMHP
RTC COLONY,RTC COLONY
RYTHU BAZAAR,NOOKALAMMA TEMPLE  (RYTHU BAZAAR)
RYTHU BAZAAR,NOOKALAMMA TEMPLE 
SABBAVARAM REGISTER OFFICE,SABBAVARAM REGISTER OFFICE
SABBAVARAM RTC COMPLEX,SABBAVARAM RTC COMPLEX
SAGAR NAGAR,SAGAR NAGAR
SAGAR NAGAR (LOCAL),SAGAR NAGAR
SAIRAM COLONY (KOMMADI),SAIRAM COLONY (KOMMADI)
SALAGRAMAPURAM (PORT QUARTERS),SALAGRAMAPURAM (PORT QUARTERS)
SALAGRAMAPURAM (SANTHI NAGAR),SALAGRAMAPURAM (SANTHI NAGAR)
SALAPUVANIPALEM,SALAPUVANIPALEM
SAMPATH VINAYAKA TEMPLE,SAMPATH VINAYAKA TEMPLE
SAMPATH VINAYAKA TEMPLE,ASILMETTA JUNCTION
SANGAM OFFICE,SANGAM OFFICE
SANGHIVALASA COLONY,SANGHIVALASA COLONY
SANJEEV COLONY,SANJEEV COLONY
SANJIVA METTA,SANJIVA METTA
SANKARAM,SANKARAM
SANKARAM (ANAKAPALLE),SANKARAM (ANAKAPALLE)
SANKARAM (MADUGULA),SANKARAM (MADUGULA)
SANTAPALEM,SANTAPALEM
SARASWATI PARK,SARASWATI PARK
SARIPALLI,SARIPALLI
SATHIVANI PALEM (SANTUVANI PALEM),SATHIVANI PALEM (SANTUVANI PALEM)
SATYAM JUNCTION,SATYAM JUNCTION
SATYANAGAR ,SATYANAGAR 
SAVARAVILLI,SAVARAVILLI
SCINDIA,SCINDIA
SCINDIA JUNCTION,SCINDIA
SCINDIA NEW COLONY,SCINDIA
SECTOR K,SECTOR K
SEETANAGARAM,SEETANAGARAM
SEETHAMMADARA (NORTH EXTENSION),SEETHAMMADARA
SEETHAMMADARA (NORTH EXTENSION),SEETHAMMADHARA
SEETHAMMADHARA,SEETHAMMADHARA
SEETHAMMADHARA (TOWARDS SATYAM COMPUTERS),SEETHAMMADHARA
SEETHAMMADHARA (TOWARDS VENKOJIPALEM),SEETHAMMADHARA
SEETHAMMAPETA,SEETHAMMAPETA
SEETHAYYAPETA,SEETHAYYAPETA
SHEELA NAGAR BUS SHELTER,SHEELA NAGAR
SHEELA NAGAR BUS SHELTER (LOCAL),SHEELA NAGAR
SIMHACHALAM - RTC COMPLEX,SIMHACHALAM - RTC COMPLEX
SIMHACHALAM DEVASTHANAM BUS DEPOT,SIMHACHALAM DEVASTHANAM BUS DEPOT
SIMHACHALAM DHEVASTHANAM GHOSHALA,SIMHACHALAM DHEVASTHANAM GHOSHALA
SIMHACHALAM HILL CURVE,SIMHACHALAM HILL CURVE
SIMHACHALAM HILLS,SIMHACHALAM HILLS
SIMHACHALAM HOSPITAL,SIMHACHALAM HOSPITAL
SIMHADRI (DONKADA),SIMHADRI (DONKADA)
SIMHAPURI COLONY,SIMHAPURI COLONY
SINGANNADORAPALEM,SINGANNADORAPALEM
SINGAVARAM,SINGAVARAM
SIRASAPALLI,SIRASAPALLI
SIRIPURAM,SIRIPURAM
SIRLAPALEM,SIRLAPALEM
SIRLAPALEM (KOVVUDU - MADDI ROAD),SIRLAPALEM (KOVVUDU - MADDI ROAD)
SONTYAM,MAMIDILOVA
SONTYAM,SONTYAM
SONTYAM X ROADS,SONTYAM X ROADS
SRAMASAKTHI NAGAR,SRAMASAKTHI NAGAR
SRI NAGAR STREET,SRI NAGAR STREET
SRIHARIPURAM,SRIHARIPURAM
SRIKANAKAMAHALAXMI,SRIKANAKAMAHALAXMI
SRINAGAR,SRINAGAR
SRINIVASA NAGAR (SIMHACHALAM),SRINIVASA NAGAR (SIMHACHALAM)
SRMT,SRMT
ST JOSEPH,ST JOSEPH
ST. JOSEPH COLLEGE,ST. JOSEPH COLLEGE
STEEL PLANT TWP - CPS,STEEL PLANT TWP - CPS
STEEL PLANT TWP - DAV PUBLIC SCHOOL,STEEL PLANT TWP - DAV PUBLIC SCHOOL
STEEL PLANT TWP - HOSPITAL,STEEL PLANT TWP - HOSPITAL
STEEL PLANT TWP - INDHIRA GANDHI PARK,STEEL PLANT TWP - INDHIRA GANDHI PARK
STEEL PLANT TWP - KANITHI ROAD,STEEL PLANT TWP - KANITHI ROAD
STEEL PLANT TWP - MAIN GATE,STEEL PLANT TWP - MAIN GATE
STEEL PLANT TWP - MAIN GATE,KURMANNAPALEM
STEEL PLANT TWP - MARKET,STEEL PLANT TWP - MARKET
STEEL PLANT TWP - SECTOR 1,STEEL PLANT TWP - SECTOR 1
STEEL PLANT TWP - SECTOR 11,STEEL PLANT TWP - SECTOR 11
STEEL PLANT TWP - SECTOR 12,STEEL PLANT TWP - SECTOR 12
STEEL PLANT TWP - SECTOR 3,STEEL PLANT TWP - SECTOR 3
STEEL PLANT TWP - SECTOR 5,STEEL PLANT TWP - SECTOR 5
STEEL PLANT TWP - SECTOR 6,STEEL PLANT TWP - SECTOR 6
STEEL PLANT TWP - SECTOR 8,STEEL PLANT TWP - SECTOR 8
STEEL PLANT TWP - SECTOR 9,STEEL PLANT TWP - SECTOR 9
STEEL PLANT TWP - SRICHAITANYA JR. COLLEGE,STEEL PLANT TWP - SRICHAITANYA JR. COLLEGE
STEEL PLANT TWP - T & DC,STEEL PLANT TWP - T & DC
STEEL PLANT TWP - UKKUNAGARAM,STEEL PLANT TWP - UKKUNAGARAM
SUJATHA NAGAR,SUJATHA NAGAR
SUJATHA NAGAR (PURUSHOTHAM BUS STOP),SUJATHA NAGAR (PURUSHOTHAM BUS STOP)
SUNDAR NAGAR,SUNDAR NAGAR
SUNDARAYYA COLONY BUS TERMINAL,SUNDARAYYA COLONY BUS TERMINAL
SURIREDDIPALEM,SURIREDDIPALEM
SVLNS GOVERNMENT STOP,SVLNS GOVERNMENT STOP
SWARNA BHARATHI INDOOR STADIUM,SWARNA BHARATHI INDOOR STADIUM
SWATANTRA NAGAR,SWATANTRA NAGAR
SWAYAMBUVARAM,SWAYAMBUVARAM
TAGARAPUVALASA (NEAR TATA THEATRE),TAGARAPUVALASA (NEAR TATA THEATRE)
TAGARAPUVALASA (NEAR TATA THEATRE),TAGARAPUVALASA
TAGARAPUVALASA HIGHWAY,TAGARAPUVALASA
TAGARAPUVALASA RTC COMPLEX,TAGARAPUVALASA RTC COMPLEX
TAGARAPUVALASA RTC COMPLEX,TAGARAPUVALASA
TALLAPALEM,TALLAPALEM
TALLAVALASA,TALLAVALASA
TALLAVALASA NH16 CONNECTING ROAD (DEGREE COLLEGE STOP),TALLAVALASA NH16 CONNECTING ROAD (DEGREE COLLEGE STOP)
TARAKARAMA,TARAKARAMA
TARLUWADA,TARLUWADA
TAVVAVANIPALEM,TAVVAVANIPALEM
TEMAPURAM BUS STATION,TEMAPURAM BUS STATION
TENNETI NAGAR (48A BUS STOP),TENNETI NAGAR (48A BUS STOP)
TENNETI PARK,TENNETI PARK
THANAM,THANAM
THANAM JUNCTION,THANAM
THATICHETLAPALEM,THATICHETLAPALEM
THATICHETLAPALEM (BOYAPALEM),THATICHETLAPALEM
THOTAGARUVU,THOTAGARUVU
THUMMAPALA,THUMMAPALA
TIKKAVANIPALEM,TIKKAVANIPALEM
TIMMAPURAM,TIMMAPURAM
TIMMARAJUPETA,TIMMARAJUPETA
TOWN KOTHAROAD,TOWN KOTHAROAD
TOWN KOTHAROAD JUNCTION,TOWN KOTHAROAD
TUMMIKAPALLI GATE,TUMMIKAPALLI GATE
TUNGALAM,TUNGALAM
TUNIVALASA,TUNIVALASA
TWO TOWN (WOMENS COLLEGE),TWO TOWN (WOMENS COLLEGE)
TYDA,TYDA
UPPADA,UPPADA
URVASI NH,URVASI
URVASI THEATRE,URVASI
USHODAYA JUNCTION,USHODAYA JUNCTION
VADACHEEPURUPALLI WEST,VADACHEEPURUPALLI WEST
VADDADI,VADDADI
VADDIMETTA,VADDIMETTA
VADLAPUDI JUNCTION,VADLAPUDI
VADLAPUDI RAILWAY QUARTERS,VADLAPUDI
VADLAPUDI TOWARDS KURMANNAPALEM,VADLAPUDI
VALANDAPETA,VALANDAPETA
VAMBAY COLONY (NEAR GAJUWAKA),VAMBAY COLONY (NEAR GAJUWAKA)
VAMBAY COLONY (NEAR GAJUWAKA),ASHOK NAGAR 
VANGALI,VANGALI
VARADA,VARADA
VARADA SANTAPALEM,VARADA SANTAPALEM
VECHALAM,VECHALAM
VEDULLANARAVA,VEDULLANARAVA
VELLANKI,VELLANKI
VELLANKI LOCAL ROAD,VELLANKI
VELLANKI NH16 CONNECTING ROAD,VELLANKI NH16 CONNECTING ROAD
VELLANKI VILLAGE,VELLANKI VILLAGE
VENKANNAPALEM,VENKANNAPALEM
VENKOJIPALEM,VENKOJIPALEM
VENKOJIPALEM(TOWARDS ISUKATHOTA),VENKOJIPALEM
VENNALAPALEM,VENNALAPALEM
VEPADA,VEPADA
VEPAGUNTA,VEPAGUNTA
VEPAGUNTA (NEAR BRTS ROAD),VEPAGUNTA
VIJAYARAMARAJU PETA,VIJAYARAMARAJU PETA
VIMAN NAGAR,VIMAN NAGAR
VIRAT NAGAR,VIRAT NAGAR
VISAKHA EYE HOSPITAL,VISAKHA EYE HOSPITAL
VISAKHAPATNAM AIRPORT,VISAKHAPATNAM AIRPORT
VISAKHAPATNAM CENTRAL JAIL,VISAKHAPATNAM CENTRAL JAIL
VISALAKSHI NAGAR,VISALAKSHI NAGAR
VISALAKSHI NAGAR (NEAR POLICE QUARTERS),VISALAKSHI NAGAR (NEAR POLICE QUARTERS)
VISALAKSHI NAGAR (NEAR POLICE QUARTERS),VISALAKSHI NAGAR
VITAM COLLEGE,VITAM COLLEGE
VIVEKANANDA NAGAR,VIVEKANANDA NAGAR
VIYYAMPETA (GOVERNMENT HOSPITAL),VIYYAMPETA (GOVERNMENT HOSPITAL)
VIZAG - RTC COMPLEX,VIZAG - RTC COMPLEX
VIZAG - RTC COMPLEX (222),VIZAG - RTC COMPLEX
"VIZAG - RTC COMPLEX (25P,25D/V,60,60C,52D)",VIZAG - RTC COMPLEX
"VIZAG - RTC COMPLEX (6A, 400)",VIZAG - RTC COMPLEX
VIZAG - RTC COMPLEX (PALLE VELUGU STOP),VIZAG - RTC COMPLEX
VIZAG - RTC COMPLEX INGATE,VIZAG - RTC COMPLEX
VIZAG - RTC COMPLEX LIC BUILDING,VIZAG - RTC COMPLEX
VIZIANAGARAM - RTC COMPLEX,VIZIANAGARAM - RTC COMPLEX
VUDA COLONY,VUDA COLONY
VUDA COLONY (NEAR CHINNAMUSHUDIWADA),CHINNAMUSHUDIWADA
VUDA COLONY (NEAR CHINNAMUSHUDIWADA),VUDA COLONY (NEAR CHINNAMUSHUDIWADA)
VUDA PARK,VUDA PARK
VUDA PARK (THE PARK HOTEL),VUDA PARK
VUTAGEDDA,VUTAGEDDA
WALTAIR BUS DEPOT,WALTAIR BUS DEPOT
WALTAIR RAILWAY STATION,WALTAIR RAILWAY STATION
WALTAIR RAILWAY STATION (STATION SIDE),WALTAIR RAILWAY STATION
WOODPETA,WOODPETA
YADAVA JAGGARAJU PETA,YADAVA JAGGARAJU PETA
YARADA BC COLONY,YARADA BC COLONY
YARADA OLD BUS STOP,YARADA OLD BUS STOP
YARADA VILLAGE,YARADA VILLAGE
YEDURUVADA,YEDURUVADA
YELLAMANCHILI,YELLAMANCHILI
YERRAVANIPALEM,YERRAVANIPALEM
Z JUNCTION TOWARDS KARNAVANIPALEM,Z JUNCTION TOWARDS KARNAVANIPALEM
ZILLA PARISHAD BUS STATION,ZILLA PARISHAD BUS STATION
ZOO PARK (BACK GATE),ZOO PARK
ZOO PARK (FRONT GATE),KAMBALKONDA
ZOO PARK (FRONT GATE),ZOO PARK
