ACTUALNAME,DESTINATIONLOOKUP
CHINAYATHAPALEM,CHINAYATHAPALEM
CHINNA GANTYADA,CHINNA GANTYADA
CHINNA RUSHIKONDA,CHINNA RUSHIKONDA
CHINNA WALTAIR,CHINNA WALTAIR
CHINNAMUSHUDIWADA,SAVITRI NAGAR
CHINNAMUSHUDIWADA,CHINNAMUSHUDIWADA
CHINNAPALEM,CHINNAPALEM
CHINNAPURAM JUNCTION,CHINNAPURAM JUNCTION
CHINNARAOPALLI,CHINNARAOPALLI
CHINNAYYAPALEM,PATAROAD
CHINNAYYAPALEM,CHINNAYYAPALEM
CHINTAGATLA,CHINTAGATLA
CHINTALA AGRAHARAM,CHINTALA AGRAHARAM
CHINTALADIMMA,CHINTALADIMMA
CHINTALAGRAHARAM (NEAR VEPAGUNTA),CHINTALAGRAHARAM (NEAR VEPAGUNTA)
CHINTHALAPALEM,CHINTHALAPALEM
CHODAVARAM,CHODAVARAM
CHODAVARAM (OLD BUS STAND),CHODAVARAM
CHOULTRY,CHOULTRY
CISF CHILDREN PARK,CISF CHILDREN PARK
CMR CENTRAL,JUDGE COURT
CMR CENTRAL,CMR CENTRAL
COLLECTOR OFFICE,COLLECTOR OFFICE
CONVENT JUNCTION,CONVENT JUNCTION
CONVENT JUNCTION,CHAVULAMADAM
COROMANDAL GATE,COROMANDAL GATE
CWC,CWC
D YELLAVARAMJUNCTION,D YELLAVARAMJUNCTION
DABA GARDENS,DABA GARDENS
DASARIVANIPALEM,DASARIVANIPALEM
DAYAL NAGAR,DAYAL NAGAR
DESA PATHRUNIPALEM (NEAR STEEL PLANT),DESA PATHRUNIPALEM (NEAR STEEL PLANT)
DESA PATRUNIPALEM (NEAR KOTHAVALASA),DESA PATRUNIPALEM (NEAR KOTHAVALASA)
DEVADA,DEVADA
DEVADA (DEVARAPALLE ROAD),DEVADA
DEVARAPALLE,DEVARAPALLE
DEVIPURAM,DEVIPURAM
DEVIPURAM HIGHWAY,DEVIPURAM
DHANUNJAYA NEAR SWARNA BHARATHI INDOOR STADIUM,SWARNA BHARATHI INDOOR STADIUM
DHANUNJAYA NEAR SWARNA BHARATHI INDOOR STADIUM,DHANUNJAYA NEAR SWARNA BHARATHI INDOOR STADIUM
DHAYALA NAGAR (104 AREA),DHAYALA NAGAR (104 AREA)
DHORA THOTA,DHORA THOTA
DHORA THOTA (NEAR BHEEMILI),DHORA THOTA
DIBBAPALEM R.H COLONY,DIBBAPALEM R.H COLONY
DISTRICT JUDGE COURT,JUDGE COURT
DISTRICT JUDGE COURT,DISTRICT JUDGE COURT
DIVIS,DIVIS
DOCKYARD,DOCKYARD
DOLPHIN OFFICE,DOLPHIN OFFICE
DONDAPARTHY,DONDAPARTHY
DONDAPARTHY (RAILWAY NEW COLONY ROAD),DONDAPARTHY
DONDAPUDI,DONDAPUDI
DOSURU,DOSURU
DRGADA,DRGADA
DUDDUPALEM JUNCTION,DUDDUPALEM JUNCTION
DUKKAVANIPALEM,DUKKAVANIPALEM
DURGA BAZAR,DURGA BAZAR
DURGA TEMPLE,DURGA TEMPLE
DUVVADA BRIDGE,FAKEERTAKIYA
DUVVADA BRIDGE,DUVVADA BRIDGE
DUVVADA RAILWAY STATION,DUVVADA RAILWAY STATION
EAST POINT COLONY,GIRIJAN CORPORATION
EAST POINT COLONY,EAST POINT COLONY
EENADU,EENADU
EENADU (TOWARDS SATYAM JUNCTION),EENADU
EMP X ROADS (LANKELAPALEM JUNCTION),LANKELAPALEM
EMP X ROADS (LANKELAPALEM JUNCTION),EMP X ROADS (LANKELAPALEM JUNCTION)
ENDADA,ENDADA
ENDADA (BEACH RD),ENDADA
ENDADA PETROL BUNK,ENDADA
ENDAMILLI,ENDAMILLI
ERUKUNAIDUPALEM,ERUKUNAIDUPALEM
ESSAR,ESSAR
EX-SERVICE MEN COLONY,EX-SERVICE MEN COLONY
EYE CARE OPTICALS,EYE CARE OPTICALS
FAKEERTAKIYA,DUVVADA BRIDGE
FAKEERTAKIYA,FAKEERTAKIYA
FIFTH TOWN POLICE STATION,SATYANAGAR
FIFTH TOWN POLICE STATION,FIFTH TOWN POLICE STATION
FISHING HARBOUR,FISHING HARBOUR
FOUR ROAD JUNCTION,FOUR ROAD JUNCTION
FOURTH TOWN POLICE STATION,FOURTH TOWN POLICE STATION
GAJUWAKA BUS DEPOT,GAJUWAKA BUS DEPOT
GALI BHEEMAVARAM,GALI BHEEMAVARAM
GANDHINAGARAM,GANDHINAGARAM
GANDIGUNDAM,GANDIGUNDAM
GANDIPALEM,GANDIPALEM
GANGADEVIPATE,GANGADEVIPATE
GANGAVARAM COLONY,GANGAVARAM
GANGAVARAM JUNCTION,GANGAVARAM
GARAVA JAGGAYYAPALEM,GARAVA JAGGAYYAPALEM
GAS COMPANY (ANAKAPALLE RD),GAS COMPANY (ANAKAPALLE RD)
GAS COMPANY (GAS AUTHORITY OF INDIA),GAS COMPANY (GAS AUTHORITY OF INDIA)
GAVARA ANAKAPALLE,GAVARA ANAKAPALLE
GEDDAPETA JUNCTION,GEDDAPETA JUNCTION
GHAT ROAD (MADUGULA),GHAT ROAD (MADUGULA)
GIDIJALA,GIDIJALA
GIDIJALA CENTER,GIDIJALA
GIRIBABU BYPUREDDY,GIRIBABU BYPUREDDY
GITAM,GITAM
GITAM UNIVERSITY (ENTRANCE),GITAM
GNANAPURAM,GNANAPURAM
GNANAPURAM (NEAR WALTAIR RAILWAY STATION),GNANAPURAM
GOKIVADA,GOKIVADA
GOKIVADA JUNCTION BUS STATION,GOKIVADA
GOLDEN LAYOUT (SARIPALLI),GOLDEN LAYOUT (SARIPALLI)
GOLLALAPALEM BUS STATION,GOLLALAPALEM BUS STATION
GOLLAPALEM,GOLLAPALEM
GOPALAPATNAM,GOPALAPATNAM
GORLEVANIPALEM,GORLEVANIPALEM
GOTIVADA,GOTIVADA
GOTIVADA (NEAR NAKKAVANIPALEM),GOTIVADA (NEAR NAKKAVANIPALEM)
GOVADA,GOVADA
GOVERNER BUNGALOW,GOVERNER BUNGALOW
GOVINDAPALEM,GOVINDAPALEM
GOWRI NAGAR JUNCTION,GOWRI NAGAR JUNCTION
GOWRIPATHAM,GOWRIPATHAM
GREEN CITY,GREEN CITY
GREEN PARK,GREEN PARK
GUDILOVA,GUDILOVA
GUDILOVA HOSTEL,GUDILOVA
GULLEPALLE,GULLEPALLE
GULLEPALLE JUNCTION,GULLEPALLE
GUNTASEEMA BUS STATION,GUNTASEEMA BUS STATION
GURRAMPALEM,GURRAMPALEM
GURUDWARA,GURUDWARA
GVMC,VIZAG - RTC COMPLEX
GVMC,GVMC
HANUMANTHAWAKA,HANUMANTHAWAKA
HANUMANTHAWAKA (NEAR MARKET YARD),HANUMANTHAWAKA
HARIPALEM,HARIPALEM
HB COLONY LAST,HB COLONY LAST
HCC COMPANY,HCC COMPANY
HOUSING BOARD (PM PALEM),POTHINAMALLAYYAPALEM (PM PALEM)
HOUSING BOARD (PM PALEM),HOUSING BOARD (PM PALEM)
INS CIRCARS,INS CIRCARS
INS KALINGA,INS KALINGA
INS SATAVAHANA,INS SATAVAHANA
IPPILAVANIPALEM,IPPILAVANIPALEM
IRUVADA,IRUVADA
